DATE,BTC,EUR,USD
2018-02-18 11:15:26Z,0.08823,754.26,926.61
2018-02-18 11:15:34Z,0.08823,754.26,926.61
2018-02-18 11:20:05Z,0.08798,758.9,929.99
2018-02-18 11:21:43Z,0.088,759.61,930.62
